stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"1100268","Todtmoos, Auf dem Köpfle","47.74220748","8.00899280","","Parent1100268"
"1100269","Dossenbach, Abzw Wehr","47.61615728","7.85689904","","Parent1100269"
"1100270","Dossenbach, Süd","47.61389853","7.86050128","","Parent1100270"
"1100271","Dossenbach, Niederdossenbach","47.60370571","7.87058936","","Parent1100271"
"1100272","Schwörstadt, Haus Thoma","47.59129964","7.86638525","","Parent1100272"
"1100273","Schwörstadt, Feuerwehrhaus","47.59249313","7.87432635","","Parent1100273"
"1100274","Schwörstadt, Oberdorf","47.59396526","7.88162067","","Parent1100274"
"1100275","Wehr (D), Zelgschule","47.63664504","7.90200345","","Parent1100275"
"1100276","Wehr (D), Flienken","47.63314623","7.89924562","","Parent1100276"
"1100277","Todtmoos, Busbahnhof","47.73998439","8.00403410","","Parent1100277"
"1100278","Todtmoos, Höfle","47.74692519","8.00205780","","Parent1100278"
"1100279","Todtmoos, Hintertodtmoos","47.74917819","8.00164458","","Parent1100279"
"1100280","Todtmoos, Strick","47.75026539","7.99904845","","Parent1100280"
"1100281","Todtmoos, Weg","47.75430595","7.98909511","","Parent1100281"
"1100282","Todtmoos, Mooslift","47.74999359","7.98839443","","Parent1100282"
"1100283","Todtmoos, Lehen","47.74734197","7.98163011","","Parent1100283"
"1100284","Bernau (Schw), Dorf","47.80921804","8.03167526","","Parent1100284"
"1100285","Todtmoos, Tännlemühle","47.75838848","7.98338183","","Parent1100285"
"1100286","St. Blasien, Hasenmatt","47.75946341","8.12047372","","Parent1100286"
"1100287","St. Blasien, Ziegelfeld","47.75587015","8.11480535","","Parent1100287"
"1100288","Grenzach, Bürgelerweg","47.55639787","7.66156038","","Parent1100288"
"1100290","Herten (Baden), Eigenstrasse","47.55336051","7.73789023","","Parent1100290"
"1100291","Zell (Wiesental),Schopfheimstr","47.70695911","7.85210203","","Parent1100291"
"1100292","Fahrnau, Hirscheneck","47.66103341","7.83769306","","Parent1100292"
